NAME,MASS (Mearth),R (Rearth),A (AU),PER (day)
Kepler-286 d,2.507652518,1.330001609,0.0640044,5.914323
Kepler-285 b,2.571969066,1.340000019,0.0373252,2.633867
Kepler-93 b,2.589890745,1.502003418,0.0534149,4.72674
Kepler-301 b,2.637321696,1.34999843,0.0361317,2.508553
Kepler-301 c,2.637321696,1.34999843,0.0603792,5.419026
Kepler-373 b,2.703719942,1.359996841,0.0612399,5.535309
Kepler-406 c,2.725296512,0.849998306,0.0555527,4.62332
Kepler-240 b,2.771166984,1.369995252,0.0504957,4.144495
Kepler-286 c,2.771166984,1.369995252,0.0448402,3.468095
Kepler-446 d,2.830776667,1.37870463,0.0352283,5.148921
Kepler-84 d,2.839665998,1.379993663,0.0511438,4.224537
Kepler-224 b,2.909302796,1.390003282,0.0419025,3.132924
Kepler-326 c,2.979928003,1.400001693,0.0539767,4.580358
Kepler-164 b,3.051617896,1.410000104,0.0574921,5.03503
Kepler-187 b,3.051617896,1.410000104,0.0567577,4.938864
Kepler-237 b,3.051617896,1.410000104,0.0550302,4.715106
Kepler-339 b,3.124378831,1.419998515,0.0570545,4.977656
Kepler-176 b,3.198220342,1.429996926,0.0604835,5.433074
Kepler-272 b,3.198220342,1.429996926,0.0404491,2.971353
Kepler-323 b,3.198220342,1.429996926,0.0276391,1.678327
Kepler-167 b,3.349151451,1.449993747,0.0524957,4.393147
Kepler-280 b,3.349151451,1.449993747,0.0324953,2.139542
Kepler-97 b,3.398762624,1.480000189,0.036125,2.58664
Kepler-168 b,3.42622198,1.459992158,0.0527522,4.425391
Kepler-190 c,3.42622198,1.459992158,0.0473476,3.763024
Kepler-366 b,3.42622198,1.459992158,0.043221,3.281959
Kepler-292 c,3.504500211,1.470001778,0.0469467,3.715335
Kepler-98 b,3.549852641,1.989997603,0.0260305,1.54168
Kepler-218 b,3.583763674,1.480000189,0.0461345,3.619337
Kepler-446 b,3.659499372,1.53563036,0.0159282,1.565409
Kepler-160 b,3.668143984,1.540001863,0.0518266,4.309427
Kepler-337 b,3.668143984,1.540001863,0.043316,3.292781
Kepler-226 b,3.687943959,1.550000273,0.0488289,3.940997
Kepler-255 b,3.687943959,1.550000273,0.0625553,5.714606
Kepler-55 e,3.687943959,1.550000273,0.0542683,4.617534
Kepler-107 b,3.707839279,1.559998684,0.0423212,3.179997
Kepler-190 b,3.707839279,1.559998684,0.0312733,2.019999
Kepler-309 b,3.707839279,1.559998684,0.0640717,5.923653
Kepler-207 b,3.727829944,1.569997095,0.0269045,1.611865
Kepler-356 b,3.727829944,1.569997095,0.0542304,4.612696
Kepler-32 e,3.734694783,1.498663142,0.0323795,2.896
Kepler-207 c,3.745627674,1.49999701,0.0413536,3.071571
Kepler-273 b,3.745627674,1.49999701,0.0401325,2.936532
Kepler-111 b,3.747884172,1.579995506,0.043745,3.341815
Kepler-256 b,3.768033745,1.589993917,0.0270005,1.620493
Kepler-370 b,3.768033745,1.589993917,0.0539702,4.57953
Kepler-55 d,3.768033745,1.589993917,0.0332158,2.211099
Kepler-49 d,3.788278663,1.599992327,0.0367817,2.576549
Kepler-140 b,3.808618926,1.610001947,0.0429776,3.25427
Kepler-445 b,3.816945722,1.614093225,0.022904,2.984151
Kepler-194 b,3.82819643,1.509995421,0.032015,2.092281
Kepler-205 b,3.82819643,1.509995421,0.038467,2.75564
Kepler-389 b,3.82819643,1.509995421,0.0428881,3.244107
Kepler-213 b,3.829022753,1.620000358,0.0356868,2.46236
Kepler-202 b,3.849521924,1.629998769,0.0498841,4.069427
Kepler-208 b,3.849521924,1.629998769,0.0511769,4.22864
Kepler-253 b,3.849521924,1.629998769,0.0475233,3.783986
Kepler-319 b,3.849521924,1.629998769,0.0522529,4.362705
Kepler-323 c,3.849521924,1.629998769,0.0455761,3.553822
Kepler-21 b,3.860613724,1.635390289,0.0427173,2.785755
Kepler-179 b,3.870148222,1.63999718,0.0382833,2.735926
Kepler-247 b,3.870148222,1.63999718,0.0436956,3.33616
Kepler-80 e,3.870148222,1.63999718,0.0544864,4.645387
Kepler-9 d,3.870148222,1.63999718,0.0266925,1.592851
Kepler-360 b,3.890838084,1.649995591,0.0432887,3.289672
Kepler-306 b,3.911877543,1.519993832,0.0544926,4.646186
Kepler-326 b,3.911877543,1.519993832,0.0335877,2.248329
Kepler-24 d,3.932535623,1.669992412,0.0513038,4.244384
Kepler-322 c,3.932535623,1.669992412,0.0520493,4.337234
Kepler-48 b,3.939845405,1.920434669,0.0532027,4.778
Kepler-188 b,3.953575083,1.680002032,0.0317043,2.061897
Kepler-228 b,3.996671015,1.529992243,0.0366865,2.566546
Kepler-221 b,4.01723375,1.709997264,0.0388408,2.795906
Kepler-238 b,4.060266119,1.729994086,0.0320006,2.090876
Kepler-33 b,4.078572356,1.738445657,0.0677431,5.66793
Kepler-80 d,4.081941212,1.739992497,0.0413591,3.072186
Kepler-294 b,4.147761032,1.769998938,0.0468277,3.701212
Kepler-321 b,4.147761032,1.769998938,0.0565776,4.915379
Kepler-82 d,4.147761032,1.769998938,0.0349155,2.382961
Kepler-148 b,4.214693211,1.799994171,0.0281967,1.729366
Kepler-107 c,4.237289972,1.809992581,0.0564705,4.901425
Kepler-113 b,4.26001386,1.820002201,0.0502736,4.754
Kepler-354 b,4.305874797,1.839999023,0.0608066,5.47666
Kepler-291 c,4.39931288,1.879992666,0.0624544,5.700786
Kepler-349 b,4.446985372,1.900000697,0.0641159,5.929778
Kepler-83 d,4.54414191,1.93999434,0.0585134,5.169796
Kepler-267 b,4.64399989,1.979999192,0.0438489,3.353728
Kepler-142 b,4.669361655,1.989997603,0.0313162,2.024152
Kepler-181 c,4.669361655,1.989997603,0.0517683,4.302149
Kepler-134 b,4.694945892,1.999996014,0.0596222,5.317429
Kepler-280 c,4.720689038,2.009994425,0.0557436,4.807091
Kepler-183 b,4.852201552,2.059997688,0.0623606,5.687945
Kepler-155 b,4.933403696,2.08999292,0.0641261,5.931194
Kepler-317 b,4.933403696,2.08999292,0.0611582,5.524242
Kepler-161 b,5.016449176,2.119999362,0.0566234,4.921355
Kepler-256 c,5.101306212,2.149994594,0.0441473,3.38802
Kepler-296 c,5.101306212,2.149994594,0.063479,5.841648
Kepler-291 b,5.130036833,2.159993005,0.0455136,3.546511
Kepler-304 c,5.158958145,2.169991416,0.0596111,5.315946
Kepler-57 b,5.211747484,2.188049084,0.0588891,5.7293196
Kepler-32 b,5.248042141,2.200322917,0.0520435,5.90124
Kepler-217 b,5.337221482,2.229993089,0.0600513,5.374943
Kepler-235 b,5.337221482,2.229993089,0.0437311,3.340222
Kepler-226 c,5.460693236,2.269997942,0.0598621,5.349555
Kepler-156 b,5.555783966,2.299993174,0.0570224,4.973456
Kepler-121 b,5.686088777,2.339998026,0.0422983,3.177422
Kepler-122 b,5.686088777,2.339998026,0.0629312,5.766193
Kepler-171 b,5.686088777,2.339998026,0.0506781,4.166972
Kepler-213 c,5.686088777,2.339998026,0.0558662,4.822962
Kepler-246 b,5.686088777,2.339998026,0.0541452,4.60182
Kepler-172 b,5.719268831,2.349996437,0.0401669,2.940309
Kepler-125 b,5.786455263,2.369993259,0.0506571,4.164389
Kepler-81 b,5.963129517,2.421139838,0.0554099,5.955
Kepler-243 b,6.065974972,2.449991754,0.0625614,5.715442
Kepler-203 c,6.13862785,2.469999785,0.0600193,5.370647
Kepler-269 b,6.13862785,2.469999785,0.0596916,5.326718
Kepler-82 e,6.13862785,2.469999785,0.063917,5.902206
Kepler-99 b,6.149751431,1.480000189,0.0500668,4.60358
Kepler-256 d,6.175399232,2.479998196,0.0634611,5.839172
Kepler-406 b,6.349721643,1.429996926,0.0361437,2.42629
Kepler-445 c,6.506977302,2.566856587,0.0317534,4.871229
Kepler-203 b,6.519403932,2.569995102,0.0421675,3.162697
Kepler-257 b,6.680250919,2.609999954,0.0349126,2.382667
Kepler-228 c,7.060899874,2.699996861,0.050414,4.134444
Kepler-244 b,7.329836291,2.759998534,0.0518456,4.311792
Kepler-142 c,7.806370518,2.859993851,0.0553921,4.761702
Kepler-304 b,7.806370518,2.859993851,0.0433417,3.295709
Kepler-314 c,8.007389525,2.899998704,0.0643363,5.960392
Kepler-325 b,8.058589781,2.909997115,0.0536941,4.544439
Kepler-221 c,8.162134433,2.929993936,0.0623799,5.690586
Kepler-210 b,8.214478829,2.939992347,0.0355986,2.453234
Kepler-219 b,8.267236386,2.949990758,0.0540172,4.585512
Kepler-232 b,8.989856016,3.079992516,0.0527986,4.431222
Kepler-89 b,9.132396766,1.746359198,0.0511881,3.743208
Kepler-224 c,9.226438701,3.119997368,0.0640814,5.925003
Kepler-222 b,9.469886226,3.159991012,0.0487958,3.936981
Kepler-188 c,9.657207337,3.189997453,0.0645963,5.996553
Kepler-207 d,10.44726765,3.309989592,0.0636703,5.868075
Kepler-94 b,10.83954869,3.509677584,0.033677,2.50806
Kepler-116 b,11.23179796,3.419994529,0.0643964,5.968734
Kepler-28 b,12.62116505,3.596782573,0.0581375,5.91213
Kepler-119 b,12.64798878,3.59999955,0.0352966,2.422082
Kepler-148 c,12.64798878,3.59999955,0.050784,4.180043
Kepler-234 b,13.50990743,3.699994867,0.0380552,2.711506
Kepler-254 b,15.10626848,3.869990269,0.0633704,5.826662
Kepler-318 b,23.30279067,4.709991285,0.0546218,4.662715
Kepler-101 b,36.67571914,5.869986283,0.0450089,3.487691
HATS-5 b,75.53324932,10.22259043,0.0542014,4.763387
WASP-69 b,82.48707678,11.84789263,0.0452527,3.8681382
CoRoT-25 b,85.81048509,12.10569919,0.0577982,4.86069
WASP-83 b,95.34498343,11.65733996,0.0590285,4.971252
WASP-20 b,98.84096615,16.38752983,0.0599991,4.8996285
HATS-6 b,101.383499,11.18656277,0.0362414,3.3252725
HAT-P-44 b,111.8714472,13.92155407,0.0507459,4.301219
HD 149026 b,114.8814883,7.330673398,0.0431325,2.8758911
WASP-63 b,120.1651895,16.02884245,0.0574592,4.37808
WASP-49 b,120.2080948,12.49801351,0.0378972,2.7817387
WASP-94 A b,133.0539244,19.27944686,0.0532427,3.9501907
WASP-67 b,133.2636833,15.69257302,0.0517914,4.61442
Kepler-77 b,136.9652934,10.7606215,0.0450195,3.57878087
Kepler-12 b,137.2827922,18.99922234,0.0556348,4.4379637
Kepler-7 b,139.1267642,16.56687352,0.0622369,4.885525
WASP-52 b,145.2946312,14.23540553,0.0271336,1.7497798
CoRoT-5 b,147.001942,15.55806525,0.0496334,4.0378962
WASP-13 b,150.6078893,15.77103589,0.0537034,4.3530135
WASP-31 b,152.3387185,17.22820338,0.0466223,3.405909
CoRoT-26 b,152.386391,14.12331572,0.052477,4.20474
WASP-96 b,152.5519735,13.45077688,0.0453489,3.4252602
CoRoT-28 b,153.8232399,10.7045766,0.0590095,5.20851
HAT-P-46 b,156.6835894,14.39233126,0.0576688,4.463129
Kepler-41 b,156.8567995,9.426752795,0.0289537,1.855558
WASP-42 b,157.9446857,11.91514652,0.0547344,4.9816877
WASP-101 b,158.9083057,15.80466283,0.0505526,3.585722
WASP-17 b,161.6246843,21.65575077,0.0499354,3.735433
Kepler-45 b,162.5628789,10.7606215,0.0298817,2.455239
WASP-60 b,162.7675528,9.639723429,0.0531121,4.3050011
WASP-6 b,165.6968685,13.71979241,0.0428704,3.361006
HATS-10 b,167.1715376,10.86150233,0.0449161,3.312846
HAT-P-1 b,169.1957116,13.92155407,0.0553326,4.4652934
CoRoT-16 b,170.9796162,13.11450746,0.0617874,5.35227
WASP-11 b,171.5431051,10.20017247,0.0436466,3.722465
WASP-15 b,172.5099032,15.45718443,0.0499436,3.7521
OGLE-TR-111 b,174.7991363,11.78063875,0.0468733,4.0144479
WASP-80 b,175.359447,10.67094966,0.0344696,3.0678504
WASP-22 b,177.678237,12.55405842,0.0468682,3.53269
WASP-62 b,178.6987461,15.58048322,0.0567187,4.411953
WASP-88 b,179.1039623,19.05526724,0.0643804,4.954
XO-2 b,180.055823,11.01842806,0.0368367,2.615838
HAT-P-25 b,180.2595435,13.33868707,0.0465813,3.652836
WASP-55 b,181.5282674,14.57167495,0.0532575,4.465633
WASP-25 b,183.8473752,13.67495649,0.0473714,3.764825
WASP-34 b,185.3995915,13.67495649,0.0520747,4.3176782
Kepler-8 b,186.1585376,15.90554366,0.0483278,3.52254
WASP-70 A b,187.5359548,13.04725357,0.0485382,3.7130203
HAT-P-3 b,189.3271692,10.07687368,0.0388252,2.899703
HAT-P-39 b,190.4344423,17.60930873,0.0509456,3.54387
WASP-56 b,192.4014093,12.24020696,0.056145,4.617101
HAT-P-27 b,196.2469903,11.43316035,0.0399488,3.039577
OGLE-TR-10 b,197.0462991,14.01122591,0.0434856,3.10129
HAT-P-40 b,197.1098624,19.39153666,0.060845,4.457243
HAT-P-28 b,199.5357566,13.58528465,0.0433674,3.257215
WASP-54 b,201.0921045,18.52844515,0.049881,3.6936411
Kepler-15 b,210.5315757,10.7606215,0.0571382,4.942782
Kepler-6 b,212.7388121,14.82948151,0.0456089,3.234723
HAT-P-4 b,213.4160793,14.28024145,0.0443853,3.056536
WASP-57 b,214.808116,10.26742635,0.0386362,2.838971
HAT-P-24 b,217.9767477,13.92155407,0.0465021,3.35524
HD 209458 b,219.1809548,15.23300481,0.047235,3.52474859
HAT-P-30 b,225.9955786,15.02003418,0.0419042,2.810595
WASP-35 b,227.9056564,14.79585456,0.0431283,3.161575
TrES-1 b,239.151915,11.95998244,0.0392516,3.030065
OGLE-TR-211 b,240.6752101,15.24421379,0.0512842,3.67724
HAT-P-54 b,241.5406247,10.58127781,0.0411908,3.799847
HAT-P-33 b,242.5754356,18.89834151,0.0499317,3.474474
Kepler-424 b,244.7902995,9.975992851,0.0436419,3.3118644
HAT-P-9 b,246.8166983,15.69257302,0.0528645,3.92289
HAT-P-29 b,247.5804116,12.40834167,0.0666842,5.723186
HAT-P-41 b,254.3340146,18.88713253,0.0425775,2.694047
WASP-98 b,263.7877875,12.3298788,0.0356868,2.96264
HATS-9 b,266.0125038,11.93756448,0.0304899,1.9153073
WASP-16 b,267.6950249,11.29865258,0.0417858,3.1186009
CoRoT-29 b,270.1441197,10.08808266,0.0389589,2.85057
HAT-P-13 b,272.3942613,14.35870432,0.0426946,2.91625
HAT-P-32 b,273.8040958,20.05286653,0.0342627,2.150008
WASP-23 b,277.2079117,10.78303946,0.037022,2.9444256
WASP-78 b,280.9489311,19.05526724,0.0361391,2.17517656
WASP-79 b,282.0666921,19.05526724,0.0534741,3.6623817
WASP-44 b,282.8046622,12.77823803,0.0347371,2.4238039
WASP-58 b,283.2950533,15.3563036,0.0562022,5.01718
WASP-28 b,288.2596666,13.59649363,0.0446486,3.40883
WASP-2 b,288.7869243,12.07207225,0.0312729,2.1522254
WASP-1 b,291.7556493,16.99281479,0.0385203,2.5199449
XO-1 b,291.9031162,13.51803076,0.049283,3.941534
CoRoT-12 b,292.1306729,16.14093225,0.0401409,2.828042
WASP-7 b,292.1621367,10.25621737,0.0604573,4.954658
TrES-4 b,293.9803656,19.98561264,0.0509243,3.553945
WASP-41 b,296.3617654,13.45077688,0.0404959,3.052401
Kepler-412 b,298.871881,14.85189947,0.0295963,1.720861232
WASP-74 b,301.9257809,17.48600994,0.0370185,2.13775
WASP-68 b,304.1565357,13.89913611,0.0621834,5.084298
WASP-48 b,312.8065504,18.71899782,0.034488,2.143634
Kepler-425 b,317.8166114,10.96238315,0.0464979,3.79701816
Kepler-426 b,317.8166114,12.217789,0.0413383,3.21751883
Kepler-423 b,317.8166114,13.45077688,0.038671,2.68432848
WASP-71 b,317.8166114,16.8134711,0.0463361,2.9036747
WASP-45 b,319.9046666,13.00241765,0.0405459,3.1260876
WASP-26 b,323.3656895,14.79585456,0.0399686,2.7566
Kepler-44 b,324.5193638,13.89913611,0.0454854,3.24674
OGLE-TR-182 b,325.6031184,12.66614823,0.0513517,3.9791
CoRoT-1 b,327.2843683,16.70138129,0.0253191,1.5089557
HAT-P-35 b,335.0486281,14.93036233,0.0497734,3.646706
HAT-P-5 b,335.4903932,14.05606184,0.0407152,2.788491
HAT-P-6 b,336.748947,14.90794437,0.0523738,3.852985
WASP-75 b,340.0637742,14.23540553,0.0375112,2.484193
HATS-3 b,341.1761324,15.47960239,0.0485119,3.547851
Qatar-1 b,346.353365,13.04725357,0.0234308,1.420033
WASP-24 b,346.7379231,14.57167495,0.0365155,2.3412127
CoRoT-19 b,352.1153801,14.45958514,0.0516604,3.89713
WTS-2 b,355.9546048,14.57167495,0.0185537,1.0187074
WASP-95 b,359.1327709,13.56286668,0.0341288,2.184673
WASP-19 b,360.2101692,15.53564729,0.0163152,0.78884
WASP-47 b,361.1858662,12.89032784,0.0520112,4.1591399
HD 189733 b,363.4550768,12.75582007,0.0309953,2.21857567
XO-5 b,366.2868228,11.54525015,0.0508651,4.1877537
HAT-P-37 b,372.9959315,13.2041793,0.0379273,2.79736
OGLE-TR-132 b,375.0236015,13.45077688,0.0303507,1.689868
TrES-2 b,381.6055835,13.71979241,0.0355765,2.47063
WASP-4 b,388.7246756,15.03124316,0.0230406,1.3382299
WASP-82 b,397.2707643,19.16735705,0.0448252,2.705785
OGLE-TR-113 b,400.4489304,12.25141594,0.0228946,1.4324757
Kepler-428 b,403.6270965,12.10569919,0.0432987,3.52563254
WASP-64 b,404.0625053,14.24661451,0.0265195,1.5732918
WASP-104 b,404.2627297,12.74461109,0.0291939,1.7554137
KELT-7 b,406.8052626,17.18336746,0.0441609,2.7347749
HAT-P-8 b,411.0512926,16.8134711,0.0449613,3.076337
CoRoT-13 b,416.6543994,9.919947947,0.051069,4.03519
WASP-97 b,419.5179271,12.66614823,0.0330527,2.07276
HATS-4 b,420.4713769,11.43316035,0.032693,2.156729
HATS-2 b,428.7822813,13.09208949,0.0229834,1.354133
WASP-12 b,432.430816,20.06407551,0.0225329,1.09142245
OGLE-TR-56 b,441.7650899,15.27784074,0.0238308,1.211909
WASP-72 b,447.3936221,11.32107054,0.036575,2.216726
KELT-3 b,464.5334719,15.22179583,0.0412729,2.70339
WASP-50 b,467.9658913,12.92395478,0.0294714,1.9550959
WASP-103 b,472.8825143,17.12732256,0.0198682,0.925542
KELT-2 A b,483.284652,14.41474922,0.0549707,4.1137912
XO-4 b,509.3138325,14.90794437,0.05524,4.1250828
WASP-5 b,516.2072748,12.77823803,0.0271923,1.6284229
HAT-P-49 b,549.692433,15.83828977,0.0437742,2.691548
WASP-43 b,564.4709054,10.42435208,0.0142363,0.813475
TrES-5 b,565.1097168,13.5516577,0.0245157,1.4822446
HAT-P-7 b,569.400241,15.27784074,0.037964,2.204737
WASP-37 b,570.0422306,13.00241765,0.0446312,3.577469
HAT-P-36 b,584.5378462,14.16815164,0.0238229,1.327347
HATS-1 b,592.7502275,14.59409291,0.0444708,3.446459
WASP-73 b,597.6827413,13.00241765,0.0551807,4.08722
TrES-3 b,607.0297278,14.97519826,0.0227178,1.30619
WASP-3 b,639.3961715,14.45958514,0.0314948,1.846834
WASP-100 b,645.1677212,18.94317744,0.0457351,2.849375
WASP-61 b,653.084533,13.89913611,0.0514489,3.8559
HAT-P-23 b,666.1626866,15.33388564,0.0231971,1.212884
WASP-46 b,668.1522185,14.68376476,0.0244921,1.43037
Kepler-5 b,672.7001742,16.04005143,0.0506416,3.54846
HAT-P-22 b,683.7411233,12.10569919,0.0414094,3.21222
HAT-P-31 b,689.3569429,11.99360938,0.0611921,5.005425
HAT-P-14 b,710.6474777,12.89032784,0.0606258,4.627669
WASP-36 b,721.2180582,14.22419655,0.0262601,1.5373653
WASP-66 b,735.2560179,15.58048322,0.0546221,4.086052
CoRoT-11 b,746.2747198,16.02884245,0.0440549,2.99433
CoRoT-17 b,781.8320423,11.43316035,0.0480499,3.7681
Kepler-17 b,788.0040409,14.90794437,0.0267923,1.4857108
Qatar-2 b,789.4850663,12.82307396,0.0215077,1.3371182
WASP-99 b,883.5301798,12.3298788,0.0716458,5.75251
Kepler-433 b,896.2428442,16.25302206,0.0678214,5.33408384
CoRoT-23 b,980.5595912,11.76942977,0.0483417,3.6313
WASP-10 b,1014.292646,12.10569919,0.0384536,3.0927616
Kepler-43 b,1027.002133,13.45077688,0.0449294,3.024095
CoRoT-2 b,1040.935213,16.43236575,0.0280884,1.7429935
HAT-P-34 b,1059.600583,13.41714993,0.0677467,5.452654
WASP-32 b,1097.617806,12.3298788,0.0390315,2.718661
CoRoT-18 b,1108.073972,14.68376476,0.0295483,1.9000693
WTS-1 b,1270.900957,16.70138129,0.0466301,3.352059
HAT-P-21 b,1296.161021,11.47799627,0.0494951,4.124481
HAT-P-16 b,1335.62431,14.44837616,0.0413275,2.77596
OGLE2-TR-L9 b,1453.826664,18.04645898,0.0413279,2.4855335
WASP-89 b,1875.118007,11.65733996,0.0426698,3.3564227
KOI-13 b,2070.575223,15.75982691,0.0342279,1.76358799
HAT-P-20 b,2316.733724,9.718186294,0.03616,2.875317
WASP-14 b,2444.753433,14.35870432,0.0367693,2.243752
CoRoT-14 b,2445.484411,12.217789,0.0269122,1.51214
HAT-P-2 b,2819.243102,12.96879071,0.0679088,5.6334729
WASP-18 b,3241.920127,14.20177859,0.0201401,0.9414529
CoRoT-27 b,3301.542523,11.2874436,0.0466557,3.57532
XO-3 b,4222.161901,13.64132955,0.0477112,3.1915426
CoRoT-3 b,6945.850261,11.32107054,0.0573788,4.2568
Kepler-78 b,1.859227177,1.158963772,0.00914662,0.35500744
CoRoT-7 b,4.44943256,1.613969926,0.0171898,0.85359163
Kepler-10 b,4.539183971,1.415996909,0.0167573,0.837495
GJ 1214 b,6.467790514,2.677825497,0.0143253,1.58040482
Kepler-18 b,6.991965451,2.000018432,0.0447299,3.504725
Kepler-68 b,8.321392337,2.307940341,0.0617749,5.398763
55 Cnc e,8.379934157,2.079994509,0.0154393,0.736546
Kepler-20 b,8.474452817,1.908295343,0.0453704,3.6961219
GJ 3470 b,13.9868866,4.196250071,0.0356088,3.336649
HAT-P-26 b,18.63959466,6.333074113,0.0478684,4.234516
GJ 436 b,23.10460024,4.222423041,0.0287188,2.64385
Kepler-4 b,24.54430949,4.001606121,0.0455763,3.21346
HAT-P-11 b,26.23112115,4.730189868,0.0525443,4.8878162
HAT-P-18 b,62.67502486,11.15293583,0.0559503,5.508023
HAT-P-12 b,66.99701296,10.74941252,0.0383737,3.2130598
WASP-29 b,77.22657623,8.877512739,0.0456587,3.922727
HAT-P-38 b,85.0378729,9.247409103,0.0522992,4.640382
WASP-39 b,90.36733966,14.23540553,0.0485835,4.055259
HAT-P-19 b,92.88921447,12.68856619,0.0466409,4.008778
WASP-21 b,95.43142955,11.99360938,0.0521087,4.322482
WASP-77 A b,559.106161,13.56286668,0.0240531,1.3600309
